cohort_month,period_number,retention_rate
2017-11,2,0.0038335158817086527
2017-11,3,0.0017798466593647317
2017-11,4,0.0019167579408543264
2017-11,5,0.0017798466593647317
2017-11,6,0.001095290251916758
2017-11,7,0.0019167579408543264
2017-11,8,0.0013691128148959474
2017-11,9,0.000547645125958379
2017-12,0,1.0
2017-12,1,0.0025514853289593585
2017-12,2,0.002733734281027884
2017-12,3,0.0034627300893019866
2017-12,4,0.002733734281027884
2017-12,5,0.0020047384727537817
2017-12,6,0.0016402405686167304
2017-12,7,0.0005467468562055768
2017-12,8,0.002186987424822307
2018-01,0,1.0
2018-01,1,0.003416370106761566
2018-01,2,0.0038434163701067618
2018-01,3,0.0028469750889679717
2018-01,4,0.0028469750889679717
2018-01,5,0.0015658362989323844
2018-01,6,0.001708185053380783
2018-01,7,0.002277580071174377
2018-02,0,1.0
2018-02,1,0.0038753681599751977
2018-02,2,0.0038753681599751977
2018-02,3,0.0029452798015811503
2018-02,4,0.0026352503487831343
2018-02,5,0.002170206169586111
2018-02,6,0.002015191443187103
2018-03,0,1.0
2018-03,1,0.004594400574300072
2018-03,2,0.0031586503948312994
2018-03,3,0.002871500358937545
2018-03,4,0.0012921751615218953
2018-03,5,0.0012921751615218953
2018-04,0,1.0
2018-04,1,0.00581135449262405
2018-04,2,0.0031291908806437194
2018-04,3,0.0023841454328714052
2018-04,4,0.0013410818059901655
2018-05,0,1.0
2018-05,1,0.005285412262156448
2018-05,2,0.002718212020537602
2018-05,3,0.0021141649048625794
2018-06,0,1.0
2018-06,1,0.004208754208754209
2018-06,2,0.002861952861952862
2018-06,4,0.00016835016835016836
2018-07,0,1.0
2018-07,1,0.007247570416735299
2018-07,2,0.00032943501894251357
2018-08,0,1.0
2018-08,1,0.001116249402009249
2018-08,2,0.0003189284005740711
2018-09,0,1.0
2018-10,0,1.0
